Timestamp | CPU % of Total | CPU Used (cores) | %MEM | RAM Used (GB) | GPU Util % | GPU MEM Used (MB)
2025-05-22 17:15:01 | 0.34% | 0.08 | 14.5 | 18.30 | 1% | 571
2025-05-22 17:15:02 | 0.34% | 0.08 | 15.0 | 18.87 | 0% | 571
2025-05-22 17:15:03 | 0.34% | 0.08 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:15:04 | 0.35% | 0.08 | 14.8 | 18.61 | 0% | 571
2025-05-22 17:15:05 | 0.35% | 0.08 | 15.4 | 19.33 | 0% | 571
2025-05-22 17:15:07 | 0.35% | 0.08 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:15:08 | 0.35% | 0.08 | 14.9 | 18.73 | 0% | 571
2025-05-22 17:15:09 | 0.35% | 0.08 | 15.4 | 19.33 | 0% | 571
2025-05-22 17:15:10 | 0.35% | 0.08 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:15:11 | 0.35% | 0.08 | 15.0 | 18.82 | 0% | 571
2025-05-22 17:15:12 | 0.35% | 0.08 | 15.4 | 19.33 | 0% | 571
2025-05-22 17:15:13 | 0.35% | 0.09 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:15:14 | 0.35% | 0.09 | 14.9 | 18.85 | 0% | 571
2025-05-22 17:15:16 | 0.35% | 0.09 | 15.4 | 19.33 | 0% | 571
2025-05-22 17:15:17 | 0.35% | 0.09 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:15:18 | 0.36% | 0.09 | 15.0 | 18.91 | 0% | 571
2025-05-22 17:15:19 | 0.36% | 0.09 | 15.4 | 19.33 | 0% | 571
2025-05-22 17:15:20 | 0.36% | 0.09 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:15:21 | 0.36% | 0.09 | 15.2 | 19.12 | 0% | 571
2025-05-22 17:15:22 | 0.36% | 0.09 | 15.4 | 19.39 | 0% | 571
2025-05-22 17:15:24 | 0.36% | 0.09 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:15:25 | 0.36% | 0.09 | 15.0 | 18.91 | 0% | 571
2025-05-22 17:15:26 | 0.36% | 0.09 | 15.5 | 19.53 | 0% | 571
2025-05-22 17:15:27 | 0.36% | 0.09 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:15:28 | 0.37% | 0.09 | 14.9 | 18.71 | 0% | 571
2025-05-22 17:15:29 | 0.37% | 0.09 | 15.6 | 19.69 | 0% | 571
2025-05-22 17:15:31 | 0.37% | 0.09 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:15:32 | 0.37% | 0.09 | 14.9 | 18.71 | 0% | 571
2025-05-22 17:15:33 | 0.37% | 0.09 | 15.2 | 18.84 | 0% | 571
2025-05-22 17:15:34 | 0.37% | 0.09 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:15:35 | 0.37% | 0.09 | 15.0 | 18.93 | 0% | 571
2025-05-22 17:15:36 | 0.37% | 0.09 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:15:37 | 0.38% | 0.09 | 14.7 | 18.55 | 0% | 571
2025-05-22 17:15:39 | 0.38% | 0.09 | 15.1 | 19.08 | 0% | 571
2025-05-22 17:15:40 | 0.38% | 0.09 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:15:41 | 0.38% | 0.09 | 14.8 | 18.71 | 0% | 571
2025-05-22 17:15:42 | 0.38% | 0.09 | 15.4 | 19.33 | 0% | 571
2025-05-22 17:15:43 | 0.38% | 0.09 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:15:44 | 0.38% | 0.09 | 14.9 | 18.78 | 0% | 571
2025-05-22 17:15:45 | 0.38% | 0.09 | 15.4 | 19.33 | 0% | 571
2025-05-22 17:15:47 | 0.38% | 0.09 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:15:48 | 0.38% | 0.09 | 15.0 | 18.92 | 0% | 571
2025-05-22 17:15:49 | 0.38% | 0.09 | 15.4 | 19.33 | 0% | 571
2025-05-22 17:15:50 | 0.38% | 0.09 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:15:51 | 0.38% | 0.09 | 15.1 | 19.04 | 0% | 571
2025-05-22 17:15:52 | 0.39% | 0.09 | 15.4 | 19.33 | 0% | 571
2025-05-22 17:15:54 | 0.39% | 0.09 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:15:55 | 0.39% | 0.09 | 15.2 | 18.91 | 0% | 571
2025-05-22 17:15:56 | 0.39% | 0.09 | 15.5 | 19.49 | 0% | 571
2025-05-22 17:15:57 | 0.39% | 0.09 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:15:58 | 0.39% | 0.09 | 14.8 | 18.71 | 0% | 571
2025-05-22 17:15:59 | 0.39% | 0.09 | 15.6 | 19.60 | 0% | 571
2025-05-22 17:16:00 | 0.39% | 0.09 | 14.5 | 18.30 | 1% | 571
2025-05-22 17:16:02 | 0.40% | 0.10 | 14.9 | 18.71 | 0% | 571
2025-05-22 17:16:03 | 0.40% | 0.10 | 15.7 | 19.28 | 0% | 571
2025-05-22 17:16:04 | 0.40% | 0.10 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:16:05 | 0.40% | 0.10 | 14.9 | 18.80 | 0% | 571
2025-05-22 17:16:06 | 0.40% | 0.10 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:16:07 | 0.40% | 0.10 | 14.8 | 18.66 | 0% | 571
2025-05-22 17:16:08 | 0.40% | 0.10 | 15.2 | 19.23 | 0% | 571
2025-05-22 17:16:10 | 0.40% | 0.10 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:16:11 | 0.40% | 0.10 | 14.7 | 18.67 | 0% | 571
2025-05-22 17:16:12 | 0.40% | 0.10 | 15.4 | 19.33 | 0% | 571
2025-05-22 17:16:13 | 0.40% | 0.10 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:16:14 | 0.40% | 0.10 | 14.9 | 18.83 | 0% | 571
2025-05-22 17:16:15 | 0.40% | 0.10 | 15.4 | 19.33 | 0% | 571
2025-05-22 17:16:17 | 0.41% | 0.10 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:16:18 | 0.41% | 0.10 | 15.0 | 18.96 | 0% | 571
2025-05-22 17:16:19 | 0.41% | 0.10 | 15.4 | 19.33 | 0% | 571
2025-05-22 17:16:20 | 0.41% | 0.10 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:16:21 | 0.41% | 0.10 | 15.1 | 19.05 | 0% | 571
2025-05-22 17:16:22 | 0.41% | 0.10 | 15.5 | 19.48 | 0% | 571
2025-05-22 17:16:23 | 0.41% | 0.10 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:16:25 | 0.41% | 0.10 | 14.9 | 18.71 | 0% | 571
2025-05-22 17:16:26 | 0.41% | 0.10 | 15.6 | 19.65 | 0% | 571
